ID,名前,ルビ,ボード,登場作品,性別,属性,ポジション,カテゴリ,年代区分,学年,チーム,説明文,キック,コントロール,テクニック,プレッシャー,フィジカル,アジリティ,インテリジェンス,ビルド,合計値,シュートAT,フォーカスAT,フォーカスDF,城壁DF,スクランブルAT,スクランブルDF,KP
4178,デイアツ・ヨルヒェ,でいあつ・よるひぇ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,FW,選手,超越,-,無所属,好奇心旺盛で何でもやるが すぐに飽きる。 典型的な 熱しやすく冷めやすいタイプ。,154,145,133,107,105,105,116,カウンター,865,299,355,301.5,212,221,223,949
4179,クド・カンラン,くど・かんらん,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,MF,選手,超越,-,無所属,サンドレスリングのプロを目指す力自慢。 どんな覆面をかぶるかは 既に決めている。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
4180,ディカス・シクリッド,でぃかす・しくりっど,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,風,GK,選手,超越,-,無所属,命知らずな美食家で なんでも口に入れる。 よく腹を壊すが 苦い経験から得た舌は確か。,110,120,113,123,133,141,120,ひっさつ,860,230,288,303.5,256,253,243,1209
4181,グッピィ・メディカ,ぐっぴぃ・めでぃか,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,DF,選手,超越,-,無所属,オシャレ好きだが とても飽きっぽいので ヘアスタイルとカラーを ころころ変える。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
4182,リドラス・ナーズ,りどらす・なーず,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,MF,選手,超越,-,無所属,とても美しい髪だが 実は極度のクセ毛。 すぐに首に巻き付いて苦しいので悩んでいる。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
4183,テトラ・カラシナ,てとら・からしな,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,MF,選手,超越,-,無所属,協調性あるしっかり者で みんなのまとめ役。 美しく輝く瞳は 光の加減で色が変わる。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
4184,グラーミ・アナバース,ぐらーみ・あなばーす,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,風,FW,選手,超越,-,無所属,親が転勤族で 幼い頃から転校ばかりだが 外向的で 誰とでも仲良くなれるタイプ。,154,145,133,107,105,105,116,きずな,865,299,355,301.5,212,221,223,949
4185,ハタータ・テハーゼ,はたーた・てはーぜ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,風,FW,選手,超越,-,無所属,極度のあがり性で みんなに注目されると 長い前髪がピンと立ち パニックに陥る。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
4186,キロー・ベイラ,きろー・べいら,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,MF,選手,超越,-,無所属,陽気な気分屋だが 狭くて暗いところが好き。 気付けば部屋の隅で ぐっすり寝ている。,126,145,147,107,105,105,130,カウンター,865,271,355,329.5,212,235,237,949
4187,ウズマ・キャッコ,うずま・きゃっこ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,風,MF,選手,超越,-,無所属,仲間うちで よく当たると評判の占いマニア。 占うときは 髪の渦巻きがぐるぐる回る。,130,141,137,113,114,105,126,きずな,866,271,343,315.5,227,240,239,988
4188,ベタスプ・レンデンス,べたすぷ・れんでんす,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,風,FW,選手,超越,-,無所属,面倒見がよく 頼れるお姉さん的存在だが 怒ると髪が広がり光り出して とても怖い。,154,145,133,107,105,105,116,テンション,865,299,355,301.5,212,221,223,949
4189,デュメリリィ・アルタム,でゅめりりぃ・あるたむ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,風,GK,選手,超越,-,無所属,一見 ひょうひょうとした印象を受けるが とてもデリケートで すぐに体調を崩す。,110,120,113,123,133,141,120,ひっさつ,860,230,288,303.5,256,253,243,1209
4190,ウナー・ギィール,うなー・ぎぃーる,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,FW,選手,超越,-,無所属,昼は寡黙で 物静かなタイプに見えるが 夜は豹変して 周囲が引くほどはっちゃける。,154,145,133,107,105,105,116,カウンター,865,299,355,301.5,212,221,223,949
4191,ホソテン・ロケボリー,ほそてん・ろけぼりー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,DF,選手,超越,-,無所属,海に潜ってキレイな貝を見つけるのが趣味。 中身はおいしく頂き 貝殻は部屋に飾る。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
4192,アンキー・モゥ,あんきー・もぅ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,MF,選手,超越,-,無所属,力持ちで勇敢。頼りになるタフガイだが 極度のアイドルオタクで全国に名を轟かす。,130,141,137,113,114,105,126,せいぎ,866,271,343,315.5,227,240,239,988
4193,メノハ・シウィード,めのは・しうぃーど,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,林,DF,選手,超越,-,無所属,家事全般が得意で 男性を立てようとする。 女性優位のサザナーラでは極めて稀な存在。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
4194,シアーネ・モネ,しあーね・もね,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,風,GK,選手,超越,-,無所属,キツそうな外見とは異なり 協調性が高く なにかと気が利くため友達がたくさんいる。,110,120,113,123,133,141,120,きずな,860,230,288,303.5,256,253,243,1209
4195,プラーヌ・ラジェリ,ぷらーぬ・らじぇり,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,DF,選手,超越,-,無所属,何を考えているかわからないタイプだが 人が集まる場所には必ずいる お祭り好き。,110,116,117,127,133,113,145,カウンター,861,226,288,318.5,260,278,272,1105
4196,ククリィ・リオネ,くくりぃ・りおね,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,風,FW,選手,超越,-,無所属,学生ながら アイドルの仕事もこなす人気者。 見た目はもちろん 仕草がかわいいと評判。,154,145,133,107,105,105,116,せいぎ,865,299,355,301.5,212,221,223,949
4197,ウミーウ・シースラグ,うみーう・しーすらぐ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,風,FW,選手,超越,-,無所属,彼が作る『光るアクセサリー』は有名で 隣のドーム街からも 注文が殺到している。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
4198,チリィ・メンジャッコ,ちりぃ・めんじゃっこ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,DF,選手,超越,-,無所属,天気のいい日に 水面近くで泳ぐのが好き。 日の光を浴びてはしゃぐ姿は まるで妖精。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
4199,サンバソーイ・シグロー,さんばそーい・しぐろー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,FW,選手,超越,-,無所属,おとなしそうに見えるが 非常に攻撃的。 フィールドで対峙したときは注意が必要だ。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
4200,オッグ・ロユリィ,おっぐ・ろゆりぃ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,風,GK,選手,超越,-,無所属,さる王族の血を引く 正真正銘のご令嬢。 全身から近寄りがたいオーラを放っている。,110,120,113,123,133,141,120,カウンター,860,230,288,303.5,256,253,243,1209
4201,ガラフ・サラトガ,がらふ・さらとが,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,MF,選手,超越,-,無所属,怪力で大雑把。彼が動けば何かが壊れる。 迷惑な男だが フィールド上では頼りになる。,130,141,137,113,114,105,126,せいぎ,866,271,343,315.5,227,240,239,988
4202,エイ・マンタレイ,えい・まんたれい,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,MF,選手,超越,-,無所属,美しい髪を羽ばたかせるように泳ぐ様は まるで 見る者すべてを魅了する海の蝶。,130,141,137,113,114,105,126,カウンター,866,271,343,315.5,227,240,239,988
4203,テトロード・トッキシン,てとろーど・とっきしん,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,風,DF,選手,超越,-,無所属,無垢な瞳の奥に黒い本性を隠し持っている。 本性が見抜けないなら近づくべきではない。,110,116,117,127,133,113,145,きずな,861,226,288,318.5,260,278,272,1105
4204,ミノッカ・サーゴ,みのっか・さーご,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,風,GK,選手,超越,-,無所属,魅力的な顔立ちとトークで人の気を引くが 気を許すと痛い目に遭うと もっぱらの噂。,110,120,113,123,133,141,120,カウンター,860,230,288,303.5,256,253,243,1209
4205,カザリィ・キヌバネ,かざりぃ・きぬばね,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,GK,選手,超越,-,無所属,ガードンの民の中でも特に美しい羽を持ち 様々なメディアに取り上げられる 人気者。,110,120,113,123,133,141,120,ラフ,860,230,288,303.5,256,253,243,1209
4206,ピョール・ココ,ぴょーる・ここ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,FW,選手,超越,-,無所属,知恵と美しさがすべてだと考えているため 兄ククドゥルとは真っ向から対立している。,154,145,133,107,105,105,116,きずな,865,299,355,301.5,212,221,223,949
4207,ククドゥル・ココ,くくどぅる・ここ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,MF,選手,超越,-,無所属,力こそがすべてであると考えているため 弟のピョールとは真っ向から対立している。,130,141,137,113,114,105,126,ひっさつ,866,271,343,315.5,227,240,239,988
4208,カンザシィ・フーチョ,かんざしぃ・ふーちょ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,火,GK,選手,超越,-,無所属,人気の踊り子で 勇ましくも美しい踊りは ガードンの民の心のオアシスとなっている。,110,120,113,123,133,141,120,カウンター,860,230,288,303.5,256,253,243,1209
4209,ハットマー・メデッポ,はっとまー・めでっぽ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,火,MF,選手,超越,-,無所属,あまりに驚きやすい気質に悩んでいるが そこがカワイイという隠れファンも多い。,130,141,137,113,114,105,126,ひっさつ,866,271,343,315.5,227,240,239,988
4210,イーカ・ルーガー,いーか・るーがー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,DF,選手,超越,-,無所属,強靭なクチバシを持つ 鉱石掘りの名人。 ツルハシを使わず クチバシで鉱石を掘る。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
4211,ジャン・スーパロ,じゃん・すーぱろ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,FW,選手,超越,-,無所属,パイロットに憧れて 翼を捨てた青年。 大型の飛行機を操縦して 空を飛ぶのが夢。,154,145,133,107,105,105,116,せいぎ,865,299,355,301.5,212,221,223,949
4212,コーティー・ジンチョー,こーてぃー・じんちょー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,MF,選手,超越,-,無所属,シンテンシティを裏で牛耳る岩礁組の頭領。 頭の十字傷は ３年前の抗争で負ったもの。,130,141,137,113,114,105,126,テンション,866,271,343,315.5,227,240,239,988
4213,ペリック・アンビン,ぺりっく・あんびん,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,GK,選手,超越,-,無所属,コーティーの忠実な部下でボディーガード。 非合法な改造で 機械の腕を強化している。,110,120,113,123,133,141,120,ひっさつ,860,230,288,303.5,256,253,243,1209
4214,ヒック・イドリー,ひっく・いどりー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,MF,選手,超越,-,無所属,自称マッドサイエンティストの改造マニア。 他人の腕を こっそりと改造してしまう。,130,141,137,113,114,105,126,せいぎ,866,271,343,315.5,227,240,239,988
4215,ハシー・ビロッコウ,はしー・びろっこう,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,GK,選手,超越,-,無所属,眠れる獅子と恐れられる 一匹狼の実力者。 普段からほぼ動かず 目を開けたまま眠る。,110,120,113,123,133,141,120,きずな,860,230,288,303.5,256,253,243,1209
4216,カーカ・ポー,かーか・ぽー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,FW,選手,超越,-,無所属,趣味のガーデニングで彩った自宅の庭に 友達を招いては 歌を唄って楽しんでいる。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
4217,ボォ・ルドワシ,ぼぉ・るどわし,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,DF,選手,超越,-,無所属,シンテンシティで暗躍する 火砕組の頭領。 コーティー積怨の宿敵で ずる賢い策略家。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
4218,メンドリィ・チャーボ,めんどりぃ・ちゃーぼ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,火,DF,選手,超越,-,無所属,結婚しており たくさんの子を持つ母親。 ママさんサッカー大会でＭＶＰの実力者。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
4219,イヤー・ズック,いやー・ずっく,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,DF,選手,超越,-,無所属,ファンクラブもある爽やかなイケメン。 キリリと伸びた眉毛が 世の女性を惑わす。,110,116,117,127,133,113,145,きずな,861,226,288,318.5,260,278,272,1105
4220,ウグィス・アン,うぐぃす・あん,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,林,FW,選手,超越,-,無所属,思わず聞き惚れてしまうほどの美声を持つ。 ガードン伝統の詩歌を愛する風流人。,154,145,133,107,105,105,116,カウンター,865,299,355,301.5,212,221,223,949
4221,ハクトゥワ・シー,はくとぅわ・しー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,火,MF,選手,超越,-,無所属,ガードン一の美貌と噂される妖艶さを持つ。 思わせぶりな態度で 男たちを期待させる。,130,141,137,113,114,105,126,きずな,866,271,343,315.5,227,240,239,988
4222,メン・プック,めん・ぷっく,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,FW,選手,超越,-,無所属,シンテンシティにある地下カジノで働く ポーカーフェイスが売りのディーラー。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
4223,モズノハ・ヤーニェ,もずのは・やーにぇ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,DF,選手,超越,-,無所属,シンテンシティ自警団で働く冷酷無比な人物。 捕まえた犯罪者は 問答無用で磔の刑にする。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
4224,クロー・イカラス,くろー・いからす,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,MF,選手,超越,-,無所属,不吉な黒い羽根で周囲に敬遠されがちだが 恐ろしく頭がキレるので一目置かれている。,130,141,137,113,114,105,126,きずな,866,271,343,315.5,227,240,239,988
4225,セッカ・クサギー,せっか・くさぎー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,DF,選手,超越,-,無所属,サーカス団で働いている陽気なピエロ。 だが 異様な動きが子どもたちには大不評。,110,116,117,127,133,113,145,きずな,861,226,288,318.5,260,278,272,1105
4226,ホトート・ギース,ほとーと・ぎーす,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,FW,選手,超越,-,無所属,ガードン民謡の歌い手で 熟年層に大人気。 シブい目つきと歌声が 心の奥に染みる…。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
4227,カモッフォ・アグーラ,かもっふぉ・あぐーら,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,FW,選手,超越,-,無所属,ガードン人なら誰もが知っている美食家。 彼女の一言で 溶岩丼ブームに火が付いた。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
4228,イーワット・ビィ,いーわっと・びぃ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,FW,選手,超越,-,無所属,シンテンシティを裏で牛耳る岩礁組の若頭。 血の気が多く 誰彼かまわずケンカを売る。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
4229,トビーアー・ブラゲ,とびーあー・ぶらげ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,GK,選手,超越,-,無所属,一子相伝であるガードン流蹴道術の後継者。 死角からの蹴り技で確実に相手を仕留める。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
4230,ナーキッツ・ラニーハッチ,なーきっつ・らにーはっち,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,GK,選手,超越,-,無所属,働き者だが やけに運が悪く生活は苦しい。 それでもめげない 健気でマジメな青年。,110,120,113,123,133,141,120,きずな,860,230,288,303.5,256,253,243,1209
4231,ワーミィ・モーム,わーみぃ・もーむ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,FW,選手,超越,-,無所属,実年齢より かなり若く見られるタイプで 年下から子ども扱いされることも多いとか。,154,145,133,107,105,105,116,テンション,865,299,355,301.5,212,221,223,949
4232,オカイ・コサマー,おかい・こさまー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,林,DF,選手,超越,-,無所属,箱入り娘で 自分１人では何もできない。 常に数人の召し使いが 周りに控えている。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
4233,コメッキー・ショリョウ,こめっきー・しょりょう,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,FW,選手,超越,-,無所属,気合を入れるとき「チキチキ！」と叫ぶ。 彼のジャンプ力は 目を疑うほどのものだ。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
4234,ターラン・チュラクモ,たーらん・ちゅらくも,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,FW,選手,超越,-,無所属,陰険な目つきと陰のある話しかたのせいで 周囲に誤解されやすいが 意外といいヤツ。,154,145,133,107,105,105,116,きずな,865,299,355,301.5,212,221,223,949
4235,マンティスカ・マーキリー,まんてぃすか・まーきりー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,GK,選手,超越,-,無所属,相手がどんな大男でも怯まぬ勇気を持つが 女性にはめっぽう弱く 一目散に逃げ出す。,110,120,113,123,133,141,120,きずな,860,230,288,303.5,256,253,243,1209
4236,ノッコギィ・リクワッタ,のっこぎぃ・りくわった,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,GK,選手,超越,-,無所属,ラトニークで開かれる相撲大会の優勝候補。 サッカーは体力づくりの一環でやっている。,110,120,113,123,133,141,120,ひっさつ,860,230,288,303.5,256,253,243,1209
4237,ナナト・ホシテン,ななと・ほしてん,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,林,GK,選手,超越,-,無所属,高い所が好きで ジュウロ大樹の頂上から スカイダイビングをするのが一番の楽しみ。,110,120,113,123,133,141,120,きずな,860,230,288,303.5,256,253,243,1209
4238,アトラ・スォーカーブ,あとら・すぉーかーぶ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,林,FW,選手,超越,-,無所属,ジュウロ大樹で名を馳せるハンター。 あの巨大甲虫ゴラガを１人で倒したという。,154,145,133,107,105,105,116,テンション,865,299,355,301.5,212,221,223,949
4239,スコール・ピオン,すこーる・ぴおん,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,FW,選手,超越,-,無所属,髪型のセットには 毎朝２時間かけている。 おさげの先までカチカチで 刺さると痛い。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
4240,エダーナ・ナフシ,えだーな・なふし,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,風,FW,選手,超越,-,無所属,『第２８６回かくれんぼ選手権』の優勝者。 大会開催から まる１０日も隠れ続けた。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
4241,キリーギィ・リース,きりーぎぃ・りーす,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,FW,選手,超越,-,無所属,わがまま放題で周囲を困らせてばかりだが 彼が歌を唄えば みんな許してしまうとか。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
4242,ミッチ・オシェ,みっち・おしぇ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,DF,選手,超越,-,無所属,カラマリネの森で道案内をしようとするが 本人も方向音痴なので深みにはまっていく。,110,116,117,127,133,113,145,カウンター,861,226,288,318.5,260,278,272,1105
4243,アオック・サーカメ,あおっく・さーかめ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,MF,選手,超越,-,無所属,ストレスを受けると悪臭を放って臭い。 その臭いは 本人でも耐えられないほどだ。,126,145,147,107,105,105,130,カウンター,865,271,355,329.5,212,235,237,949
4244,ミィーロ・アグリアス,みぃーろ・あぐりあす,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,林,FW,選手,超越,-,無所属,もともと鮮やかな髪の色をしていたのだが 照れ屋なので 目立たない色に染めている。,154,145,133,107,105,105,116,カウンター,865,299,355,301.5,212,221,223,949
4245,ヘラーク・レスビトル,へらーく・れすびとる,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,DF,選手,超越,-,無所属,力があり余っており 目につくものすべてに 頭突きしまくる ほとほと困った暴れん坊。,110,116,117,127,133,113,145,きずな,861,226,288,318.5,260,278,272,1105
4246,カゲロ・エフェメラ,かげろ・えふぇめら,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,DF,選手,超越,-,無所属,食べ物に一切の興味を示さない謎の人物。 生まれてから何も食べていないという噂も…。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
4247,アメン・ボーアカイナー,あめん・ぼーあかいなー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,林,DF,選手,超越,-,無所属,ラトニーク人には珍しく 泳ぎが大の得意。 湖の上でプカプカ浮かんでいるのが好き。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
4248,ホホホ・タルコイ,ほほほ・たるこい,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,FW,選手,超越,-,無所属,夜になると おしりが勝手に光り出す。 それが恥ずかしくて 夜は家の外に出ない。,154,145,133,107,105,105,116,せいぎ,865,299,355,301.5,212,221,223,949
4249,ハナム・グーリィ,はなむ・ぐーりぃ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,DF,選手,超越,-,無所属,普通の子に見えるが 花に目がない。 花を見つけると全力でダイブするので危険。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
4250,アレース・ズムーシモ,あれーす・ずむーしも,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,DF,選手,超越,-,無所属,負のオーラを全力で放ち 近寄りがたいが 天使のような歌声を聴けば評価は一変する。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
4251,モル・フォーチョ,もる・ふぉーちょ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,林,MF,選手,超越,-,無所属,光沢のある髪は 日の光で七色に輝き出す。 その美しさ目当てにジュウロ村へ来る者も。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
4252,ゴマーダ・ラッカミーキリ,ごまーだ・らっかみーきり,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,FW,選手,超越,-,無所属,本人いわく 食べ物は味より硬さが重要で クルミのようなナッツでも 殻ごと食べる。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
4253,ゲンゴー・ロウ,げんごー・ろう,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,風,GK,選手,超越,-,無所属,アメンとは親友で 一緒に湖へ泳ぎに行く。 湖底まで深く潜るのが好きなのだとか。,110,120,113,123,133,141,120,ラフ,860,230,288,303.5,256,253,243,1209
4254,オット・シーブミー,おっと・しーぶみー,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,MF,選手,超越,-,無所属,兜を被っているようだが これは顔の一部。 ちなみに 鼻は突起した角の先端にある。,130,141,137,113,114,105,126,ひっさつ,866,271,343,315.5,227,240,239,988
4255,リュカ・アリル,りゅか・ありる,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,風,FW,選手,超越,-,無所属,頭脳明晰で運動神経抜群で容姿端麗だが ちょっとしたことで すぐ泣き出してしまう。,154,145,133,107,105,105,116,きずな,865,299,355,301.5,212,221,223,949
4256,アントシー・アーニン,あんとしー・あーにん,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,山,GK,選手,超越,-,無所属,基本的には 明るくて人なつっこいのだが 相手によって態度を変える性格に難がある。,110,120,113,123,133,141,120,ひっさつ,860,230,288,303.5,256,253,243,1209
4257,イソロ・イーシン,いそろ・いしん,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,DF,選手,超越,-,無所属,何も考えていなさそうだが 頭の回転が速く 何でもソツなくこなす 器用貧乏タイプ。,110,116,117,127,133,113,145,カウンター,861,226,288,318.5,260,278,272,1105
4258,テルル・テルリド,てるる・てるりど,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,女,火,MF,選手,超越,-,無所属,ツンとデレの差は太陽とブラックホール。 落差が激しすぎる 宇宙規模の超ツンデレ。,126,145,147,107,105,105,130,カウンター,865,271,355,329.5,212,235,237,949
4259,デオキシリー・ボカク,でおきしりー・ぼかく,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,MF,選手,超越,-,無所属,頭が良すぎて 話すことすべてが哲学的。 彼の話を最後まで寝ずに聞ける者はいない。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
4260,リーボ・ソム,りーぼ・そむ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,MF,選手,超越,-,無所属,ボーッとした表情の裏で 先を見通す天才。 １人で妄想が膨らみ 不気味に笑っている。,130,141,137,113,114,105,126,きずな,866,271,343,315.5,227,240,239,988
4261,マグ・ネッシウム,まぐ・ねっしうむ,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,山,FW,選手,超越,-,無所属,一瞬で怒り 一瞬で落ち着きを取り戻す。 閃光のごとき目まぐるしさで情緒が不安定。,154,145,133,107,105,105,116,カウンター,865,299,355,301.5,212,221,223,949
4262,ブローム・ヘキシン,ぶろーむ・へきしん,1,イナズマイレブンGO ギャラクシー ビッグバン／スーパーノヴァ,男,火,FW,選手,超越,-,無所属,強面だが セラピストの資格を持つ癒やし系。 彼と話せば 心のモヤモヤがスッキリ解消。,154,145,133,107,105,105,116,せいぎ,865,299,355,301.5,212,221,223,949
